ensembl_gene_id gene_symbol entrezgene_id
ENSRNOG00000008249 Brms1l 100910898
ENSRNOG00000008249 Brms1l 299053
ENSRNOG00000046548 Rhox5 24631
ENSRNOG00000000422 Dxo 361799
ENSRNOG00000001480 Ncf1 114553
ENSRNOG00000050457 LOC100364002 100364002
ENSRNOG00000030346  680959
ENSRNOG00000053893 Opn4 192223
ENSRNOG00000016110 Kcnk12 64119
ENSRNOG00000021713 Kif18b 303575
ENSRNOG00000028641 Brpf3 309647
ENSRNOG00000012183 Glrx 64045
ENSRNOG00000014289 Arpc2 301511
ENSRNOG00000021674 Ifitm7 288244
ENSRNOG00000019207 Shank1 78957
ENSRNOG00000038872 Fam115e 494321
ENSRNOG00000000759 Olr1730 408031
ENSRNOG00000000759 Olr1730 294187
ENSRNOG00000011809  305850
ENSRNOG00000021324 RGD1565059 499630
ENSRNOG00000000421 Skiv2l 294260
ENSRNOG00000007371 Rbmx2 367930
ENSRNOG00000061080 Kmt2c 502710
ENSRNOG00000009139 Fubp3 362106
ENSRNOG00000028622 Pnpla1 361812
ENSRNOG00000011271 Mcc 307449
ENSRNOG00000024365 Ect2 361921
ENSRNOG00000016997  689561
ENSRNOG00000052296 Shank3 59312
ENSRNOG00000019648  367313
ENSRNOG00000026236 Morc3 304074
ENSRNOG00000030622 Enox2 302817
ENSRNOG00000006697 Pip4p2 362490
ENSRNOG00000032768 Stxbp4 303443
ENSRNOG00000052096 Cox11 690300
ENSRNOG00000052096 Cox11 103693419
ENSRNOG00000019629 Lamp1 25328
ENSRNOG00000023566 Vwa3b 501126
ENSRNOG00000038046 Dgat2l6 678749
ENSRNOG00000000517 Kctd20 294307
ENSRNOG00000020173 Tie1 89806
ENSRNOG00000029798 Lrrc4c 311236
ENSRNOG00000055775  405405
ENSRNOG00000031065  414786
ENSRNOG00000026231 Awat1 679520
ENSRNOG00000000519 Stk38 361813
ENSRNOG00000050041 LOC682831 682831
ENSRNOG00000048472 Comp 25304
ENSRNOG00000047537 LOC100912373 100912373
ENSRNOG00000005524 Pno1 289809
